Ticker,Model,MSE,RMSE,MAE
AAPL,CNNLSTM,101.8152965642785,10.090356612344209,8.395918400931624
AMD,CNNLSTM,43.401469024472895,6.587979130543212,5.1650430153830555
AMZN,CNNLSTM,35.92899045148525,5.994079616712248,4.503185220158986
BAC,CNNLSTM,2.10405059029924,1.4505345877638494,1.15233842056094
CSCO,CNNLSTM,1.8938689162455626,1.3761791003519719,1.0383711750692253
DIS,CNNLSTM,33.49089503148328,5.787131848462006,4.937166225103304
GOOGL,CNNLSTM,50.23582806137705,7.0877237574116165,5.6225663633138865
IBM,CNNLSTM,375.54441239978297,19.378968300706386,14.575567471891189
INTC,CNNLSTM,2.4387192859860924,1.5616399348076664,1.142659649117987
JPM,CNNLSTM,93.1166776147566,9.649698317292442,7.282685998018004
MA,CNNLSTM,179.05140070190365,13.381008956797826,10.34068048203025
META,CNNLSTM,2012.0632861648014,44.85602842611906,36.835285067186916
MSFT,CNNLSTM,574.7342549863628,23.973615809601245,20.614893892109933
NFLX,CNNLSTM,1302.199901671796,36.086007006481005,25.815389717512353
NVDA,CNNLSTM,100.22690101124554,10.011338622344443,7.105340127605684
ORCL,CNNLSTM,95.47512124527708,9.77113715210656,6.2507582731557
PEP,CNNLSTM,35.23122296036782,5.935589520878935,5.162708454512019
PYPL,CNNLSTM,8.267806344781851,2.8753793392840974,2.306246447383066
TSLA,CNNLSTM,605.8128933312322,24.61326661236237,19.191584130624634
V,CNNLSTM,540.4345712317996,23.247248680904146,20.83381984635458
lstm,cnn,49.15523217457761,7.011079244636849,5.222349231747821
lstm,cnn,63.65154067880668,7.978191566940887,6.405044471197054
lstm,cnn,322.2116724545336,17.950255498307918,14.82341834596296
lstm,cnn,105.9384925416823,10.292642641308513,8.082067906652144
lstm,cnn,106.89383903841959,10.338947675581862,7.67474811243438
lstm,cnn,202.3215461857391,14.223977860842552,10.523147127418758
lstm,cnn,528.4313318552214,22.98763432489784,17.011964351588766
lstm,cnn,352.5198262739537,18.775511345205853,14.168617125070034
AAPL,lstm,60.42632982558723,7.773437452349329,6.100390683675338
AMD,LSTM,79.70237503278796,8.9276186652874,6.816569139462351
AMZN,lstm,85.74918708763248,9.260085695479955,7.5102836702363085
BAC,LSTM,2.9641361533892825,1.721666678944935,1.422223500640634
CSCO,LSTM,1.694455815838201,1.3017126471837788,0.991264674328017
DIS,LSTM,15.40904800572985,3.925436027466229,2.9865035967669256
GOOGL,LSTM,78.67845370244066,8.870087581441384,7.180939268941295
IBM,LSTM,165.22199514636645,12.85387082346662,9.520665803702775
INTC,LSTM,3.253932426927604,1.803865967007417,1.3394367604464261
JPM,LSTM,255.26919889661397,15.977146143683294,13.364530092974274
MA,LSTM,194.04280875092854,13.929924937017017,10.68275192332604
META,LSTM,723.8139094739352,26.903789871948064,20.02502474802313
MSFT,lstm,135.4759785552653,11.639414871687721,9.382285299075406
NFLX,LSTM,1569.8221715804536,39.6209814565522,27.806788485072907
NVDA,LSTM,92.99344023885814,9.643310647223709,6.64122829582642
ORCL,LSTM,133.9199062827777,11.572376864014483,7.917069768459289
PEP,LSTM,20.66747086045173,4.546149014325391,3.694533625613803
PYPL,LSTM,7.790679503076847,2.791178873357429,2.095402259709584
TSLA,lstm,330.47867613720626,18.179072477362705,13.44606825494117
V,LSTM,75.3890812047117,8.68268859309786,6.476960637395314
AAPL,SentCNNLSTM,287.5925566285985,16.9585540842549,14.828663021601908
JPM,SentCNNLSTM,205.3702944381945,14.330746471771612,10.378202760852918
MSFT,SentCNNLSTM,778.8599085283576,27.908061712135392,23.68049755875372
TSLA,SentCNNLSTM,815.0361765407046,28.548838444684655,20.64165645199697
AAPL,xgb,16013.279522835115,126.54358744256903,122.8431029515217
AMD,XGB,7344.739837518058,85.70145761606426,80.09583186777873
AMZN,xgb,9197.523335562313,95.90371909140079,87.47623746300745
BAC,XGB,243.42720578226542,15.602153882790203,14.42148809716055
CSCO,XGB,483.85170876350656,21.99662948643511,20.709243323809275
DIS,XGB,157.07227408070685,12.532847804098909,9.844160182390972
GOOGL,XGB,7713.682320274028,87.82757152667963,82.10609582013882
IBM,XGB,7321.67318160692,85.5667761552749,67.96567995790583
INTC,XGB,38.28853723386383,6.187773204785695,5.10046424190612
JPM,XGB,13711.368931441997,117.09555470401939,103.14920949741949
MA,XGB,73804.42820616912,271.6697042479509,259.1133202659217
META,XGB,105379.4880723936,324.62206960155004,280.00636179172983
MSFT,xgb,63130.44242521292,251.25772112556643,238.93711225619066
NFLX,XGB,222984.57169840627,472.2124222194989,374.50528034977617
NVDA,XGB,7541.356691091854,86.84098508821658,70.32170380545466
ORCL,XGB,8380.13806545618,91.543094034756,79.50455779891588
PEP,XGB,4243.176890305567,65.13967216915945,64.24505338835047
PYPL,XGB,984.595017375476,31.378257079950696,30.386420098990218
TSLA,xgb,28114.55386113035,167.67395105123023,157.50494650780354
V,XGB,24577.71253189885,156.77280546031844,148.49915391476463
